title,year,department,award,film,img_link,film_link,Original title,Directed by,Country,Year of production,Running time,Category,Techniques used,Version,Process,Target public,Production,Distribution,Artistic direction,Script,Graphics,Storyboard,Layout,Animation,Compositing,Music,Sound,Editing,Overview,Voice,Sets,Camera,Other credits,Based on
Awards,2017,Short films,Jury Distinction,L'Ogre,https://www.annecy.org/resources/images/m/20170969_1.jpg,https://www.annecy.org/about/archives/2017/award-winners/film-index:film-20170969,L'Ogre,Laurène BRAIBANT,France,2017,09 min 41 s,Short film,2D computer,Sans dialogue ni commentaire,Colour,Adults,"PAPY3D PRODUCTIONS, Richard VAN DEN BOOM","PAPY3D PRODUCTIONS, Richard VAN DEN BOOM",Laurène Braibant,Laurène Braibant,Laurène Braibant,Laurène Braibant,,"Laurène Braibant, Gilles Cuvelier, Gabriel Jacquel, Claire Trollé, Marine Blin, Thomas Machart","Laurène Braibant, Gilles Cuvelier, Gabriel Jacquel",Pierre Caillet,,"Gabriel Jacquel, Sarah Van den Boom","Greatly insecure about his size, a giant refrains himself from eating, terrified at the idea of revealing his gargantuan character which could compromise his place in society. During a business banquet, his true nature is put to the test.",,,,,
Awards,2017,Short films,Audience Award,Pépé le morse,https://www.annecy.org/resources/images/m/20171639_1.jpg,https://www.annecy.org/about/archives/2017/award-winners/film-index:film-20171639,Pépé le morse,Lucrèce ANDREAE,France,2017,14 min 53 s,Short film,2D computer,Version originale française sous-titrée anglais,Colour,"Teens, Adults, Kids, Young adults, Preschool","CAÏMANS PRODUCTIONS, Daniel SAUVAGE, Jérôme BARTHÉLEMY",,,Lucrèce Andreae,,,,,,Flavien Van Haezevelde,,,"On a windy and cloudy beach, granny is praying, mum is shouting, the sisters don't care and Lucas is alone. Grandpa was a weird guy, and now he's dead.",,,,,
Awards,2017,Short films,"""Off-Limits"" Award",Dix puissance moins quarante-trois seconde,https://www.annecy.org/resources/images/m/20170977_1.png,https://www.annecy.org/about/archives/2017/award-winners/film-index:film-20170977,Dix puissance moins quarante-trois seconde,F FRANCIS,France,2016,13 min 57 s,Short film,"3D computer, pixilation",Sans dialogue ni commentaire,,"Adults, Young adults","MIYU PRODUCTIONS, Emmanuel-Alain RAYNAL","MANIFEST, Anais COLPIN",,,,,,,,,,,"An instant in the universe: a few seconds up in space, a few minutes back down here below for a man, and how much for the plant staring at him… Little by little, these three journeys overlap, fuse with one another and plunge into the heart of matter.",,,,,
Awards,2017,TV and commissioned films,Cristal for a TV Production,Revolting Rhymes Part One,https://www.annecy.org/resources/images/m/20171301_3.jpg,https://www.annecy.org/about/archives/2017/award-winners/film-index:film-20171301,Revolting Rhymes Part One,"Jakob SCHUH, Jan LACHAUER, Bin-han TO",United Kingdom,2016,30 min 23 s,TV special,2D computer,Version originale anglaise,Colour,"Kids, Family","Martin POPE, MAGIC LIGHT PICTURES, Michael ROSE",,,,,,,"Triggerfish Animation Cape Town, Magic Light Pictures Berlin",,,,,"Brilliant parodies of well-known fairy tales with some extremely surprising twists, written by one of the world's most beloved storytellers.","Dominic West, David Walliams, Rose Leslie, Tamsin Greig, Gemma Chan, Bertie Carvel, Rob Brydon",,,,"""Revolting Rhymes"", Roald Dahl, Quentin Blake"
Awards,2017,TV and commissioned films,Special Distinction for a TV Series,"BoJack Horseman ""Fish Out Of Water""",https://www.annecy.org/resources/images/m/20172758_3.jpg,https://www.annecy.org/about/archives/2017/award-winners/film-index:film-20172758,"BoJack Horseman ""Fish Out Of Water""",Mike HOLLINGSWORTH,USA,2016,24 min 52 s × 12 episodes,TV serie,2D computer,Version originale anglaise,Colour,"Teens, Adults, Young adults","Raphael BOB-WAKSBERG, Noel BRIGHT, Steven A. COHEN, Will ARNETT, Aaron PAUL, TORNANTE PRODUCTIONS, LLC, Lisa HANAWALT",NETFLIX ANIMATION,,"Jordan Young, Elijah Aron",,James Bowman,,Crystal Stromer,,Jesse Novak,,Jose Martinez,"BoJack, the failed legendary '90s sitcom star, has been trying to find his way through a muddle of self-loathing, whisky and failed relationships.","Paul F. Tompkins, Alison Brie, Amy Sedaris, Angela Bassett, Aaron Paul, Will Arnett",,,"Aaron Long (Assistant Director), Lisa Hanawalt (Production Designer)",
Awards,2017,TV and commissioned films,Jury Award for a TV Series,"The Man-Woman Case ""Wanted""",https://www.annecy.org/resources/images/m/20172592_3.jpg,https://www.annecy.org/about/archives/2017/award-winners/film-index:film-20172592,"The Man-Woman Case ""Wanted""",Anaïs CAURA,France,2017,05 min 10 s × 10 episodes,TV serie,"2D computer, rotoscope",Version originale française,,"Teens, Adults, Young adults","MY FANTASY, Antoine PIWNIK, Hélène GENDRONNEAU, FRANCE TÉLÉVISIONS NOUVELLES ECRITURES",,,Joëlle Oosterlinck,Anaïs Caura,Morgane Lepéchon,,Hugo Frasseto,Pierre Julien Fieux,Pierre Oberkampf,,Nazim Meslem,"Sydney, Australia, 1920s: Thirty-something Eugene is running from the police who have accused him of burning his wife alive. But why would he have killed his beloved? Maybe Eugene isn't who we thought he was and maybe his wife learned his secret...","Corinne Masiero, Cléo Sénia, Nicolas Meyrieux, Sophie Garric, Marc Raffray, Pierre Benoist, Jérémie Bédrune",,Nadine Buss,,
Awards,2017,TV and commissioned films,Cristal for a Commissioned Film,Material World,https://www.annecy.org/resources/images/m/20172545_3.png,https://www.annecy.org/about/archives/2017/award-winners/film-index:film-20172545,Material World,Anna GINSBURG,United Kingdom,2017,02 min 50 s,Advertising film,2D computer,Version originale anglaise,Colour,"Adults, Young adults","STRANGE BEAST, Zoe MUSLIM","SELFRIDGES &AMP; CO., Becki (Rebecca) DYER",Sara Andreasson,,,,,"Louise Druelle, Frankie Swan, Toby Mortimer, Katy Wang, Anna Ginsburg, Seti Seto","Perrie Murphy, Andy Martin",,Ed Berriman,,"Launching Selfridges' new campaign, exploring eco-friendly fashion through interviews with brands about their use of sustainable materials.",,,,,
Awards,2017,TV and commissioned films,Jury Award,"Moby ""Are You Lost in the World Like Me?""",https://www.annecy.org/resources/images/m/20172812_3.jpg,https://www.annecy.org/about/archives/2017/award-winners/film-index:film-20172812,"Moby ""Are You Lost in the World Like Me?""",Steve CUTTS,"USA, United Kingdom",2016,03 min 15 s,Music video,"drawing on paper,  2D/3D computer",Version originale anglaise,Colour,"Teens, Adults, Young adults",Steve CUTTS,,,,,,,,,Moby & The Void Pacific Choir,,,Looking at our society's addiction to technology and its profound effects on our personal relationships and human interactions.,,,,,
Awards,2017,Graduation films,Cristal for a Graduation Film,Sog,https://www.annecy.org/resources/images/m/20172053_3.jpg,https://www.annecy.org/about/archives/2017/award-winners/film-index:film-20172053,Sog,Jonatan SCHWENK,Germany,2017,10 min 14 s,Graduation film,"puppets, 3D computer, diverse techniques, live action",Sans dialogue ni commentaire,Colour,"Teens, Adults, Young adults","HFG - HOCHSCHULE FUR GESTALTUNG OFFENBACH AM MAIN, Jonatan SCHWENK",,Jonatan Schwenk,"Jonatan Schwenk, Merlin Flügel",,Jonatan Schwenk,,"Jonatan Schwenk, Marc Rühl, Florian Maubach","Maximilian Wagener, Mikola Debik, Daniel Maaß, Ferdinand Kowalke",,Jonatan Schwenk,,"After a flood, some fish get stuck in some old trees. In danger of drying out, they scream for help. Woken by the noise, the inhabitants of a nearby cave aren't very happy about the unexpected gathering.",,,Iván Robles Mendoza,,
Awards,2017,Graduation films,Jury Award,Natsu no gero wa huyu no sakana,https://www.annecy.org/resources/images/m/20171659_3.jpg,https://www.annecy.org/about/archives/2017/award-winners/film-index:film-20171659,Natsu no gero wa huyu no sakana,Sawako KABUKI,Japan,2016,02 min 59 s,Graduation film,"drawing on paper, 2D computer",Version originale japonaise sous-titrée anglais,Colour,"Adults, Young adults","TAMA ART UNIVERSITY, Sawako KABUKI",,,,,,,,,,,,"Painful events become memories over time. Still, we vomit and eat again. Life is eco.",,,,,
Awards,2017,Graduation films,Jury Distinction,Pas à pas,https://www.annecy.org/resources/images/m/20170087_3.jpg,https://www.annecy.org/about/archives/2017/award-winners/film-index:film-20170087,Pas à pas,"Charline ARNOUX, Mylène GAPP, Léa RUBINSTAYN, Florian HEILIG, Mélissa ROUX",France,2016,05 min 04 s,Graduation film,3D computer,Sans dialogue ni commentaire,Colour,Family,"ESMA MONTPELLIER  (ÉCOLE SUPÉRIEURE DES MÉTIERS ARTISTIQUES), Coline MOIRE",,,,,,,,,,,,"Stuck in the routine of his life in the city, a blind man must learn to embrace the unknown in order to become more self-confident.",,,,,
Awards,2017,Special Prizes,City of Annecy Award,Maacher Jhol,https://www.annecy.org/resources/images/m/20172077_1.jpg,https://www.annecy.org/about/archives/2017/award-winners/film-index:film-20172077,Maacher Jhol,Abhishek VERMA,India,2017,12 min 04 s,Short film,"drawing on paper, special effects, 2D computer",Version originale hindi sous-titrée anglais,Colour,"Adults, Family, Young adults","JAMUURA, Piyush TIWARI, Abhishek VERMA",,Abhishek Verma,"Jayesh Bhosale, Abhishek Verma",Abhishek Verma,"Jayesh Bhosale, Suyog Happe, Abhishek Verma",Abhishek Verma,Abhishek Verma,"Bhogendro Laishram, Ashwin Vasudevan",The 126Ers,Shantanu Yennemadi,Antariksh,"Lalit, 28, decides to come out to his parents. In order to reveal his sexuality, seeking acceptance, he cooks his father's favourite fish curry. Will his dad love the delicious dish?","Abhishek Verma, Deepa Kumar, Ajay Singhal, Amar Chaudhary, Rajesh Pawar, Suraj Ghosh",,,,
Awards,2017,Special Prizes,André-Martin Award for a 2016 French Feature Film,La Jeune Fille sans mains,https://www.annecy.org/resources/images/m/20161351_1.jpg,https://www.annecy.org/about/archives/2017/award-winners/film-index:film-20161351,La Jeune Fille sans mains,Sébastien LAUDENBACH,France,2016,01 h 16 min,Feature film,"2D computer, trademarked techniques, diverse techniques",Version originale française sous-titrée anglais,Colour,"Teens, Adults, Young adults","LES FILMS SAUVAGES, Jean-Christophe SOULAGEON, L-F-P LES FILMS PELLEAS","SHELLAC, Thomas ORDONNEAU, PYRAMIDE INTERNATIONAL",,Sébastien Laudenbach,,,,,"Sébastien Laudenbach, Clorinde Baldassari",Olivier Mellano,Julien Ngo-Trong,"Santi Minasi, Sébastien Laudenbach","In hard times, a miller sells his daughter to the Devil. Protected by her purity, she escapes but is deprived of her hands. Walking away from her family, she encounters the goddess of water, a gentle gardener and a prince in his castle. A long journey towards the light…","Anaïs Demoustier, Jérémie Elkaïm, Philippe Laudenbach, Olivier Broche, Françoise Lebrun, Sacha Bourdo",,,,"""La Jeune Fille sans mains"", Jacob & Wilhelm Grimm"
Awards,2017,Special Prizes,André-Martin Special Distinction for a French Short Film,Negative Space,https://www.annecy.org/resources/images/m/20171984_3.jpg,https://www.annecy.org/about/archives/2017/award-winners/film-index:film-20171984,Negative Space,"Max PORTER, Ru KUWAHATA",France,2017,05 min 30 s,Short film,"animated objects, puppets",Version originale anglaise sous-titrée français,Colour,"Teens, Adults, , Family, Young adults","Nidia SANTIAGO, IKKI FILMS, Edwina LIARD, MANUEL CAM STUDIO, Jean-Louis PADIS","MIYU DISTRIBUTION, Luce GROSJEAN","Max Porter, Ru Kuwahata","Ru Kuwahata, Max Porter",Ru Kuwahata,"Ru Kuwahata, Max Porter","Ru Kuwahata, Max Porter","Ru Kuwahata, Eric Montchaud, Sylvain Derosne","Ru Kuwahata, Pierre Morin, Sami Guellai, Max Porter",Bram Meindersma,Bram Meindersma,Max Porter,My dad taught me how to pack.,Albert Birney,"Max Porter, Victoria Tanto, Marion Lacourt, Ru Kuwahata","Max Porter, Simone Gesrel, Nadine Buss",,"""Negative Space"", Ron Koertge"
Awards,2017,Special Prizes,André-Martin Award for a French Short Film,Nothing Happens,https://www.annecy.org/resources/images/m/20170935_1.jpg,https://www.annecy.org/about/archives/2017/award-winners/film-index:film-20170935,Nothing Happens,"Uri KRANOT, Michelle KRANOT","Denmark, France",2017,11 min 49 s,Short film,"drawing on paper, photocopies",Sans dialogue ni commentaire,Colour,"Teens, Adults, Young adults","DANSK TEGNEFILM, Marie BRO, MIYU PRODUCTIONS, Emmanuel-Alain RAYNAL, Pierre BAUSSARON",,,,,,,,,,,,"It's freezing cold on the outskirts of town, but people are gathering together. I watch them form a row across the horizon. We're all waiting for something to happen, but what if nothing does?",,,,,
Awards,2017,Special Prizes,"""CANAL+ Creative Aid"" Award for a Short Film",L'Ogre,https://www.annecy.org/resources/images/m/20170969_1.jpg,https://www.annecy.org/about/archives/2017/award-winners/film-index:film-20170969,L'Ogre,Laurène BRAIBANT,France,2017,09 min 41 s,Short film,2D computer,Sans dialogue ni commentaire,Colour,Adults,"PAPY3D PRODUCTIONS, Richard VAN DEN BOOM","PAPY3D PRODUCTIONS, Richard VAN DEN BOOM",Laurène Braibant,Laurène Braibant,Laurène Braibant,Laurène Braibant,,"Laurène Braibant, Gilles Cuvelier, Gabriel Jacquel, Claire Trollé, Marine Blin, Thomas Machart","Laurène Braibant, Gilles Cuvelier, Gabriel Jacquel",Pierre Caillet,,"Gabriel Jacquel, Sarah Van den Boom","Greatly insecure about his size, a giant refrains himself from eating, terrified at the idea of revealing his gargantuan character which could compromise his place in society. During a business banquet, his true nature is put to the test.",,,,,
Awards,2017,Special Prizes,Gan Foundation Award for Distribution,Petit Vampire,https://www.annecy.org/resources/images/m/20178204.jpg,https://www.annecy.org/about/archives/2017/award-winners/film-index:film-20178204,Petit Vampire,Joann SFAR,France,,01 h 20 min,,2D computer,,Colour,", Teens, Young adults, Adults, Family","AUTOCHENILLE PRODUCTION, antoine DELESVAUX",STUDIO CANAL,,,,,,,,,,,"Little Vampire is bored. He has been ten years old for three hundred years and he wants to go to school and make new friends. Michael is an orphan with problems at school, and his meeting with Little Vampire sets him on a course for adventure in a world of fantasy and imagination. As the two forge their new friendship, the terrible Gibbus appears.",,,,,
Awards,2017,Special Prizes,"Best Original Music Award for a Short Film, sponsored by the SACEM",Radio Dolores,https://www.annecy.org/resources/images/m/20172066_1.jpg,https://www.annecy.org/about/archives/2017/award-winners/film-index:film-20172066,Radio Dolores,Katariina LILLQVIST,Finland,2016,18 min 05 s,Short film,puppets,Version originale anglaise sous-titrée français,Colour,"Teens, Adults, Young adults","FILM COOPERATIVE CAMERA CAGLIOSTRO, Katariina LILLQVIST","FILM COOPERATIVE CAMERA CAGLIOSTRO, Katariina LILLQVIST",Agata Gorzadek,Katariina Lillqvist,Patricia Ortiz Martinez,Patricia Ortiz Martinez,Katariina Lillqvist,Michal Kubicek,Kusti Vuorinen,Kusti Vuorinen,Kai Rantala,Katariina Lillqvist,"The year is 1936, and shoemakers in a Finnish industrial town are sending shoes to Spain as humanitarian aid. Young Arvo wants to do more, so he joins as a volunteer in the International Brigades and disappears.",Jotaarkka Pennanen,Team Cagliostro,Patricia Ortiz Martinez,Jotaarkka Pennanen (Role),
Awards,2017,Special Prizes,FIPRESCI Award,Negative Space,https://www.annecy.org/resources/images/m/20171984_3.jpg,https://www.annecy.org/about/archives/2017/award-winners/film-index:film-20171984,Negative Space,"Max PORTER, Ru KUWAHATA",France,2017,05 min 30 s,Short film,"animated objects, puppets",Version originale anglaise sous-titrée français,Colour,"Teens, Adults, , Family, Young adults","Nidia SANTIAGO, IKKI FILMS, Edwina LIARD, MANUEL CAM STUDIO, Jean-Louis PADIS","MIYU DISTRIBUTION, Luce GROSJEAN","Max Porter, Ru Kuwahata","Ru Kuwahata, Max Porter",Ru Kuwahata,"Ru Kuwahata, Max Porter","Ru Kuwahata, Max Porter","Ru Kuwahata, Eric Montchaud, Sylvain Derosne","Ru Kuwahata, Pierre Morin, Sami Guellai, Max Porter",Bram Meindersma,Bram Meindersma,Max Porter,My dad taught me how to pack.,Albert Birney,"Max Porter, Victoria Tanto, Marion Lacourt, Ru Kuwahata","Max Porter, Simone Gesrel, Nadine Buss",,"""Negative Space"", Ron Koertge"
Awards,2017,Special Prizes,Young Audience Award,Hedgehog's Home,https://www.annecy.org/resources/images/m/20172378_1.jpg,https://www.annecy.org/about/archives/2017/award-winners/film-index:film-20172378,Hedgehog's Home,Eva CVIJANOVIC,"Canada, Croatia",2017,10 min,Short film,,Version originale anglaise sous-titrée français,Colour,"Teens, Adults, Kids, Family, Young adults","NFB (ONF) - NATIONAL FILM BOARD OF CANADA, Jelena POPOVIC, BONOBOSTUDIO, Vanja ANDRIJEVIC","NFB (ONF) - NATIONAL FILM BOARD OF CANADA, Lorne PRICE",,Eva Cvijanović,,,,"Ivana Bošnjak, Eva Cvijanović, Thomas Johnson",Elise Simard,Darko Rundek,Olivier Calvert,,"In a lush and lively forest lives a hedgehog. Though he's respected by the other animals, his devotion to his home annoys a quartet of beasts who decide to confront him.",Kenneth Welsh,,,,Branko Ćopić
Awards,2017,Special Prizes,Junior Jury Award for a Short Film,Valley of White Birds,https://www.annecy.org/resources/images/m/20172057_1.jpg,https://www.annecy.org/about/archives/2017/award-winners/film-index:film-20172057,Valley of White Birds,Cloud YANG,China,2017,14 min 16 s,Short film,"drawing on paper, 2D computer",Sans dialogue ni commentaire,Colour,"Adults, Young adults","WOLF SMOKE ANIMATION STUDIO, Clover XIE",,,,,,,,,,,,"In his pursuit of the white bird, Sheng must face his own inner guilt and fear. After a tortuous journey of searching, he is finally reborn.",,,,,
Awards,2017,Special Prizes,Junior Jury Award for a Graduation Film,What a Peaceful Day,https://www.annecy.org/resources/images/m/20170110_3.jpg,https://www.annecy.org/about/archives/2017/award-winners/film-index:film-20170110,What a Peaceful Day,Kai-Hsun CHAN,Taiwan,2016,04 min 45 s,Graduation film,2D computer,Sans dialogue ni commentaire,Colour,"Teens, Adults, Kids, Family, Young adults","TAIPEI NATIONAL UNIVERSITY OF THE ARTS, Chi-Sui WANG",Kai-Hsun CHAN,,,,,,,,,,,An old lady goes into the woods in search of peace. She accidentally crosses paths with a hunter who's collecting antlers. A conflict arises.,,,,,
Awards,2017,Special Prizes,Festivals Connexion Award – Région Auvergne-Rhône-Alpes / In partnership with Lumières Numériques & Pilon Cinéma,Nothing Happens,https://www.annecy.org/resources/images/m/20170935_2.jpg,https://www.annecy.org/about/archives/2017/award-winners/film-index:film-20170935,Nothing Happens,"Uri KRANOT, Michelle KRANOT","Denmark, France",2017,11 min 49 s,Short film,"drawing on paper, photocopies",Sans dialogue ni commentaire,Colour,"Teens, Adults, Young adults","DANSK TEGNEFILM, Marie BRO, MIYU PRODUCTIONS, Emmanuel-Alain RAYNAL, Pierre BAUSSARON",,,,,,,,,,,,"It's freezing cold on the outskirts of town, but people are gathering together. I watch them form a row across the horizon. We're all waiting for something to happen, but what if nothing does?",,,,,
Awards,2016,Feature films,Cristal for a Feature Film,Ma vie de Courgette,https://www.annecy.org/resources/images/m/20160926_1.jpg,https://www.annecy.org/about/archives/2016/award-winners/film-index:film-20160926,Ma vie de Courgette,Claude BARRAS,"France, Switzerland",2016,01 h 05 min,Feature film,puppets,Version originale française sous-titrée anglais,Colour,", Family","BLUE SPIRIT STUDIO, Armelle GLORENNEC, RITA PRODUCTIONS, Max KARLI, GEBEKA FILMS, Marc BONNY, Michel MERKT","GEBEKA FILMS, Marc BONNY",,Céline Sciamma,Claude Barras,Fernando Lira,,Kim Keukeleire,Blue Spirit Studio,Sophie Hunger,Denis Sechaud,Valentin Rotelli,"Courgette is a 10-year-old boy with an intriguing nickname. After his mother's sudden death, he is sent to a foster home where he meets other orphans. At first he struggles to find his place in this strange environment, but he will soon learn to trust, find love and at last, a new family.","Gaspard Schlatter, Sixtine Murat, Paulin Jaccoud, Michel Vuillermoz (de La Comédie Française)",Ludovic Chemarin,David Toutevoix,,"""Autobiographie d'une Courgette"", Gilles Paris"
Awards,2016,Feature films,Jury Distinction,La Jeune Fille sans mains,https://www.annecy.org/resources/images/m/20161351_1.jpg,https://www.annecy.org/about/archives/2016/award-winners/film-index:film-20161351,La Jeune Fille sans mains,Sébastien LAUDENBACH,France,2016,01 h 16 min,Feature film,"2D computer, trademarked techniques, diverse techniques",Version originale française sous-titrée anglais,Colour,"Teens, Adults, Young adults","LES FILMS SAUVAGES, Jean-Christophe SOULAGEON, L-F-P LES FILMS PELLEAS","SHELLAC, Thomas ORDONNEAU, PYRAMIDE INTERNATIONAL",,Sébastien Laudenbach,,,,,"Sébastien Laudenbach, Clorinde Baldassari",Olivier Mellano,Julien Ngo-Trong,"Santi Minasi, Sébastien Laudenbach","In hard times, a miller sells his daughter to the Devil. Protected by her purity, she escapes but is deprived of her hands. Walking away from her family, she encounters the goddess of water, a gentle gardener and a prince in his castle. A long journey towards the light…","Anaïs Demoustier, Jérémie Elkaïm, Philippe Laudenbach, Olivier Broche, Françoise Lebrun, Sacha Bourdo",,,,"""La Jeune Fille sans mains"", Jacob & Wilhelm Grimm"
Awards,2016,Feature films,Audience Award,Ma vie de Courgette,https://www.annecy.org/resources/images/m/20160926_1.jpg,https://www.annecy.org/about/archives/2016/award-winners/film-index:film-20160926,Ma vie de Courgette,Claude BARRAS,"France, Switzerland",2016,01 h 05 min,Feature film,puppets,Version originale française sous-titrée anglais,Colour,", Family","BLUE SPIRIT STUDIO, Armelle GLORENNEC, RITA PRODUCTIONS, Max KARLI, GEBEKA FILMS, Marc BONNY, Michel MERKT","GEBEKA FILMS, Marc BONNY",,Céline Sciamma,Claude Barras,Fernando Lira,,Kim Keukeleire,Blue Spirit Studio,Sophie Hunger,Denis Sechaud,Valentin Rotelli,"Courgette is a 10-year-old boy with an intriguing nickname. After his mother's sudden death, he is sent to a foster home where he meets other orphans. At first he struggles to find his place in this strange environment, but he will soon learn to trust, find love and at last, a new family.","Gaspard Schlatter, Sixtine Murat, Paulin Jaccoud, Michel Vuillermoz (de La Comédie Française)",Ludovic Chemarin,David Toutevoix,,"""Autobiographie d'une Courgette"", Gilles Paris"
Awards,2016,Short films,Cristal for a Short Film,Une tête disparaît,https://www.annecy.org/resources/images/m/20161975_2.jpg,https://www.annecy.org/about/archives/2016/award-winners/film-index:film-20161975,Une tête disparaît,Franck DION,"Canada, France",2016,08 min 30 s,Short film,2D/3D computer,Version originale française sous-titrée anglais,Colour,"Teens, Adults, Kids, Family, Young adults","Franck DION, PAPY3D PRODUCTIONS, Richard VAN DEN BOOM, ONF - OFFICE NATIONAL DU FILM DU CANADA, Julie ROY",PAPY3D PRODUCTIONS,,,,,,Studio Train Train,,Pierre Caillet,Pierre-Yves Drapeau,,"Jacqueline has lost her head, but who cares! For her trip to the seaside, she's decided to take the train alone, like a big girl.",Florence Desalme,,,,
Awards,2016,Short films,Jury Award,"Vaysha, l'aveugle",https://www.annecy.org/resources/images/m/20161117_3.jpg,https://www.annecy.org/about/archives/2016/award-winners/film-index:film-20161117,"Vaysha, l'aveugle",Theodore USHEV,Canada,2016,08 min,Short film,2D computer,Version originale française sous-titrée anglais,Colour,"Adults, Young adults","ONF - OFFICE NATIONAL DU FILM DU CANADA, Marc BERTRAND","ONF - OFFICE NATIONAL DU FILM DU CANADA, Lorne PRICE",,,,,,,,,Olivier Calvert,,"Vaysha is not like other little girls. Her left eye only sees the past and her right, only the future. People call her ""Blind Vaysha"".",Caroline Dhavernas,,,,"""Blind Vaysha"", Georgi Gospodinov"
Awards,2016,Short films,"""Jean-Luc Xiberras"" Award for a First Film",'n Gewone blou Maandagoggend,https://www.annecy.org/resources/images/m/20162045_5.jpg,https://www.annecy.org/about/archives/2016/award-winners/film-index:film-20162045,'n Gewone blou Maandagoggend,Naomi VAN NIEKERK,South Africa,2014,03 min 24 s,Short film,powder animation,Original Afrikaans version English / French subtitles,,"Adults, Young adults",Nita CRONJE,,,,,,,,,Arnaud Van Vliet,Arnaud Van Vliet,,"One Monday morning, a girl gets ready for school. In the ghetto neighbourhood where she lives, violence and tragedy are part of everyday life.",Ronelda Kamfer,,,,"""'n Gewone blou Maandagoggend"", Ronelda S. Kamfer"
Awards,2016,Short films,Jury Distinction,Moms on Fire,https://www.annecy.org/resources/images/m/20161229_3.jpg,https://www.annecy.org/about/archives/2016/award-winners/film-index:film-20161229,Moms on Fire,Joanna RYTEL,Sweden,2016,12 min 49 s,Short film,clay,Version originale suédoise sous-titrée anglais ou français,Colour,"Adults, Young adults","ALTOFILM AB, Alberto HERSKOVITS","SWEDISH FILM INSTITUTE, Theo TSAPPOS",,,,,,,,,,,"What's it like to be massively pregnant with only four days until you're due to pop? You'd like to jerk off but can't even reach, your boyfriend is fucking boring and you just want to have some fun.",,,,,
Awards,2016,Short films,Audience Award,Peripheria,https://www.annecy.org/resources/images/m/20161260_1.jpg,https://www.annecy.org/about/archives/2016/award-winners/film-index:film-20161260,Peripheria,David COQUARD-DASSAULT,France,2015,12 min 20 s,Short film,2D/3D computer,Sans dialogue ni commentaire,Colour,"Teens, Adults, Young adults","AUTOUR DE MINUIT, Nicolas SCHMERKIN, SCHMUBY PRODUCTIONS, Thibaut RUBY","AUTOUR DE MINUIT, Nicolas SCHMERKIN",,"Patricia Valeix, David Coquard Dassault",,,,"Emmanuel Linderer, Florian Durand, Hervé Barberau, Jeanne-Sylvette Giraud, Nicolas Guilloteau, Manuel Raïs, Christophe Seux, Cyril Costa, Paul Szajner",,Christophe Heral,,David Coquard-Dassault,"A journey into the heart of a large slum that's been abandoned, portraying an urban landscape gone wild: a modern Pompeii where the wind blows and dogs roam amongst the remains of human life.",,,,,
Awards,2016,Short films,"""Off-Limits"" Award",4min15 au révélateur,https://www.annecy.org/resources/images/m/20160074_3.jpg,https://www.annecy.org/about/archives/2016/award-winners/film-index:film-20160074,4min15 au révélateur,Moïa JOBIN-PARÉ,Canada,2015,04 min 52 s,Short film,"photos, live action",Sans dialogue ni commentaire,Colour,"Adults, Family",Moïa JOBIN-PARÉ,,Moïa Jobin-Paré,Moïa Jobin-Paré,,,,Moïa Jobin-Paré,,Simon Elmaleh,Simon Elmaleh,Moïa Jobin-Paré,"A young woman sees and captures, develops and scratches. She sews the images back together. Mixed techniques of a fragmented city.",,,Moïa Jobin-Paré,,
Awards,2016,Short films,Jury Distinction,The Reflection of Power,https://www.annecy.org/resources/images/m/20160657_3.jpg,https://www.annecy.org/about/archives/2016/award-winners/film-index:film-20160657,The Reflection of Power,Mihai GRECU,"France, Romania",2015,09 min 11 s,Short film,"3D computer, photos, live action",Sans dialogue ni commentaire,Colour,"Teens, Adults, , Family, Young adults, Preschool","BATHYSPHERE PRODUCTIONS, Nicolas ANTHOME",,,,,,,,,,,"Clémence Diard, Mihai Grecu, Momoko Seto","In the most secret capital in the world, a crowd watches a show while a disaster threatens to annihilate the city.",,,Mu Jin,,
Awards,2016,TV and commissioned films,Cristal for a TV Production,Stick Man,https://www.annecy.org/resources/images/m/20160941_3.jpg,https://www.annecy.org/about/archives/2016/award-winners/film-index:film-20160941,Stick Man,"Jeroen JASPAERT, Daniel SNADDON",United Kingdom,2015,27 min 08 s,TV special,3D computer,Version originale anglaise sous-titrée français,Colour,", Family","Michael ROSE, MAGIC LIGHT PICTURES, Martin POPE",,,"Jeroen Jaspaert, Max Lang",,,,Triggerfish Animation,,René Aubry,Adrian Rhodes,Robin Sales,The tale of a happy-go-lucky father's epic journey to make it home in time for Christmas.,"Russell Tovey, Jennifer Saunders, Sally Hawkins, Martin Freeman, Rob Brydon, Hugh Bonneville",,,,"""Stick Man"", Julia Donaldson, Axel Scheffler"
