year,Original title,Directed by,Country,Year of production,Running time,Category,Techniques used,Version,Process,Target public,Production,Distribution,Artistic direction,Script,Graphics,Storyboard,Layout,Animation,Compositing,Music,Sound,Editing,Overview,department,Voice,Sets,Based on,Camera,Other credits,Development,Character design,Animation directors,Series creator(s),Script writer,Graphic designer
2016,The Wrong End of the Stick,Terri MATTHEWS,United Kingdom,2016,08 min 20 s,Graduation film,diverse techniques,Version originale anglaise,Colour,Adults,"NFTS - NATIONAL FILM AND TELEVISION SCHOOL, Sam BANK",,,Chris Cornwell,,,,,,,,,"Malcolm Fetcher is a neurotic, middle-aged teacher lost in a dull marriage to his wife of twenty years, Beverly. As he faces an all-consuming identity crisis, their marriage disintegrates and he is forced to express a deep, hidden desire.",Graduation Short Films,,,,,,,,,,,
2016,Velodrool,Sander JOON,Estonia,2015,06 min 11 s,Graduation film,drawing on paper,Sans dialogue ni commentaire,Colour,"Adults, Young adults","ESTONIAN ACADEMY OF ARTS, Sander JOON",,,Sander Joon,,,,Sander Joon,,"Sander Põldsaar, Andres Dajek","Sander Põldsaar, Andres Dajek","Sander Joon, Priit Pärn, Olga Pärn","An addicted biker runs out of cigarettes. He joins a race to get more, but has to accept help from some peculiar people in the crowd in order to stay in the competition.",Graduation Short Films,,,,,,,,,,,
2016,Viikset,Anni OJA,Finland,2015,03 min 37 s,Graduation film,puppets,Sans dialogue ni commentaire,Colour,Family,"TURKU ARTS ACADEMY, Eija SAARINEN","KURZFILM AGENTUR HAMBURG E.V., Stine WANGLER",Anni Oja,Anni Oja,,Anni Oja,Anni Oja,Anni Oja,"Hannes Renvall, Anni Oja","Janne Saviranta, Elina Vikman",Janne Helenius,Anna Vepsalainen,This town ain't big enough for the two of 'em... nor their moustaches.,Graduation Short Films,,"Anni Oja, Henna Oja",,"Hannes Renvall, Anni Oja",,,,,,,
2016,What They Believe,Shoko HARA,Germany,2016,10 min 20 s,Graduation film,"drawing on paper, 2D computer, diverse techniques",Version originale anglaise,Colour,"Adults, Young adults","FILMAKADEMIE BADEN-WÜRTTEMBERG, Michaela EDL","FILMAKADEMIE BADEN-WÜRTTEMBERG, Sigrid GAIRING",Shoko Hara,Simon Thummet,Shoko Hara,,,"Shoko Hara, Sofiia Melnyk",Shoko Hara,Marius Kirsten,"Marc Fragstein, Luis Schoeffend",,"Anecdotes of ambiguous love and hope, assembling a world where evangelical fanaticism has become an everyday insanity.",Graduation Short Films,,,,,,,,,,,
2016,Wildfire,"Hugues OPTER, Pierre PINON, Arnaud TRIBOUT, Valentin STOLL, Shang ZHANG, Nicole STAFFORD",France,2015,04 min 15 s,Graduation film,"drawing on paper, 2D computer",Version originale française sous-titrée anglais,Colour,"Teens, Adults, Young adults","GOBELINS, L'ÉCOLE DE L'IMAGE, Yves PORTELLI","MIYU DISTRIBUTION, Luce GROSJEAN",,,,,,,,Pablo Pico,,,"Ena, a passionate firefighter and wife, is very involved with her profession. Her fascination with fire reveals itself as it impacts her family life.",Graduation Short Films,,,,,,,,,,,
2016,"A Rhino Named Paul ""Everybody Sleeps""","Dave SCHLAFMAN, Mike ANNEAR",USA,2015,02 min 36 s,TV serie,2D computer,Version originale anglaise sous-titrée français,Colour,Preschool,"CLOUDKID, Dave SCHLAFMAN, HOUGHTON MIFFLIN HARCOURT",HOUGHTON MIFFLIN HARCOURT,,,,,,,,Joe Pleiman,,,"In this series of music videos, we meet Paul, a lovable but haphazardly childlike rhino, as he learns the ropes of childhood with the help of his family.",TV Films,,,,,,,,,,,
2016,"Basia ""Basia i upal w ZOO""",Marcin WASILEWSKI,Poland,2016,11 min,TV serie,2D computer,Version anglaise sous-titrée français,Colour,"Kids, Preschool","GS ANIMATION, Robert JASZCZUROWSKI",,,"Szymon Jachimek, Zofia Stanecka, Marcin Wasilewski","Marianna Oklejak, Maja Barska, Aleksandra Kleczkowska, Magdalena Wegrzyn",Bartlomiej Glaza,,,,Michal Jacaszek,Studio Spot,,Basia is five years old and quite a character! She often stumbles on seemingly big problems to which she must find solutions. Basia isn't always well-behaved but it's impossible not to like her.,TV Films,,,"""Basia"", Zofia Stanecka, Marianna Oklejak, Dorota Nowacka",,,,,,,,
2016,"Bob's Burgers ""Housetrap""",Bernard DERRIMAN,USA,2015,21 min 42 s,TV serie,"animated objects, 2D computer",Version originale anglaise sous-titrée français,Colour,"Teens, Adults, Family, Young adults","Jim DAUTERIVE, Rich RINALDI, Greg THOMPSON, Jon SCHROEDER, Nora SMITH, BENTO BOX ENTERTAINMENT, Mark MCJIMSEY","TWENTIETH CENTURY FOX ANIMATION / BLUE SKY STUDIOS, INC., Kottie KREISCHER",,Dan Fybel,,,,,,,,"Matt Beville, Mark Seymour","In true Belcher fashion, the family gets stuck in a terrible storm while up in Craggy Neck. The storm is the least of their worries, however, when they are forced to take shelter with the mysterious owner of a large beach home.",TV Films,"Kristen Schaal, Eugene Mirman, Dan Mintz, John Roberts, H. Jon Benjamin, Larry Murphy",,,,,,,,,,
2016,"Candide ""Otthon, édes otthon""","Zsuzsanna KREIF, Olivér HEGYI",Hungary,2015,07 min 27 s,TV serie,2D computer,Version anglaise sous-titrée français,Colour,"Teens, Kids","POP FILM, Károly FEHÉR","POP FILM, Károly FEHÉR","Zsuzsanna Kreif, Olivér Hegyi",,,"Nándor Bera, Zsuzsanna Kreif, Olivér Hegyi","Borbála Zétényi, Zsuzsanna Kreif, Olivér Hegyi","Dániel Bárány, Borbála Zétényi, Csaba Zabos, Marcell Szénási, Soma Sebesvári, Fanni Németi, András Menráth, Zsuzsanna Kreif, Zoltán Koska, Olivér Hegyi, Nándor Bera, Darko Belevski, Attila Bárdos","Nándor Bera, Olivér Hegyi, Zsuzsanna Kreif","Pierrick Dechaux, Wassim Halal, Benjamin Efrati",Balázs Pejkó,Judit Czakó,"We tried to rethink the story of ""Candide"", letting the eternal questions disturb the silence of our sofas.",TV Films,"Zoltán Rajkai, Feri Elek, András Faragó, Piroska Molnár, Adél Jordán, János Kulka",,"""Candide"", Voltaire",,,,,,,,
2016,"Dawn of the Croods ""Night of the Living Croods""",Joshua TABACK,USA,2015,11 min 30 s,TV serie,2D computer,Version originale anglaise sous-titrée français,Colour,"Teens, Kids, Family","DREAMWORKS ANIMATION, Brendan HAY","NETFLIX ANIMATION, David WIEBE",Brendan Hay,"Laura Beck, Matthew Beans",,"Fred Gonzales, Marcelo Desouza, Seung Cha, Erica Hayes, Gus Corrales",,,,,,,"Part 1: The Croods take the first nap in human history, but since nobody has ever dozed off in the day before, the neighbours assume they must be dead. Part 2: The Croods discover a new food, soo-gar.",TV Films,,,"""The Croods""",,,,,,,,
2016,"F is for Family ""Bill Murphy's Day Off""",Benjamin MARSAUD,USA,2015,28 min,TV serie,2D computer,Version originale anglaise sous-titrée français,Colour,Adults,"GAUMONT, Vince VAUGHN, Peter BILLINGSLEY, Bill BURR, Katie O'CONNELL MARSH, Elisa TODD ELLIS, Sidonie DUMAS, Christophe RIANDÉE, Mike PRICE",,,Emily Towers,,,,,,,,,"Transporting viewers back to the '70s, a time when political correctness, helicopter parenting and indoor smoking bans weren't part of anyone's vocabulary.",TV Films,"Bill Burr, Laura Dern",,,,,,,,,,
2016,"In i Yana ""Zapretnaya yeda""",Oleg UZHINOV,Russia,2015,11 min,TV serie,"cut-outs, 2D computer",Version originale russe sous-titrée français,Colour,Kids,"SCHOOL-STUDIO ""SHAR"", Lyubov GAIDUKOVA",,Anton Dyakov,Vladimir Sakhnovsky,Anton Dyakov,,,"Stas Dobry, Andrey Shishkin, Lena Filippik, Yegor Belsky, Leonid Shmelkov, Robert Labidas, Nina Volova",,Alexei Gallyamov,Artem Fadeev,Oleg Uzhinov,"When the children try to exchange lunches during their field trip, they discover that not everyone eats the same things. A lesson on the different eating habits of diverse cultures.",TV Films,"Pavel Lyubimtsev, Elena Shulman, Julia Mishina, Vladimir Sakhnovsky",,,,,,,,,,
2016,La Rentrée des classes,"Stéphane AUBIER, Vincent PATAR","Belgium, France",2016,26 min,TV special,animated objects,Version originale française sous-titrée anglais,Colour,"Teens, Adults, Kids, Family, Young adults, Preschool","PANIQUE SPRL, Vincent TAVIER, AUTOUR DE MINUIT, Nicolas SCHMERKIN, BEAST ANIMATION, Ben TESSEUR","AUTOUR DE MINUIT, Nicolas SCHMERKIN",,,,,,,,,,,"Cowboy and Indian are all ready to take off on an extravagant luxury cruise, but there's just one catch: they totally forgot that today's the first day of school! So long exotic islands.",TV Films,,,,,,,,,,,
2016,"Las niñas de la guerra ""Berenice""",Jaime César ESPINOSA BONILLA,Colombia,2015,07 min 02 s,TV serie,rotoscope,Version originale espagnole sous-titrée français,Colour,"Teens, Young adults","HIERROANIMACIÓN, Carlos SMITH ROVIRA",,Jorge Tamayo,"Jaime César Espinosa Bonilla, Yoleiza Bocanegra",,,,"Jorge Tamayo, Carlos Smith",Julián Lopez,"Juan Salazar, Daniel Castillo",Jefferson Rosas,,Experiences of girls who lived through the war and the disengagement of the Colombian conflict. We approach their life stories by focusing on the possibilities of their social integration.,TV Films,,Cristian Quintero,,,,,,,,,
2016,"Lastman ""T'es un abruti Aldana""",Jérémie PÉRIN,France,2015,12 min,TV serie,2D computer,Version originale française sous-titrée anglais,Colour,"Teens, Adults, Young adults","EVERYBODY ON DECK, Didier CRESTE, Joé BAUDOT, JE SUIS BIEN CONTENT, Franck EKINCI, Violette TEYSSIER DUMON","Joseph JACQUET, FRANCE TÉLÉVISIONS, Pierre SIRACUSA",,"Guillaume Mautalent, Matthieu Choquet, Léonie de Rudder, Laury Rovelli, Balak, Jérémie Périn, Laurent Sarfati",,Christelle Abgrall,,,"Fred Macé, Stéphane Ricard, Cyprien Nozieres, Damien Gaillardon, Franck Ekinci","Philippe Monthaye, Fred Avril","Rodolphe Ploquin, Guillaume Bessonat, Hayette Mechouar",,"Meet Richard Aldana, ten years before he showed up and kicked ass in the manga ""Lastman"". Tracked down by a cult of religious maniacs, the last ""action hero"" discovers the existence of a legendary world, King Valley, filled with magic and demons.",TV Films,,"Mikael Robert, Jérémie Hoarau","""Lastman"", Bastien Vivès, Balak, Michaël Sanlaville",,"Martial Le Minoux, Maëlys Ricordeau, William Coryn, Patrick Bethune, Damien Ferrette, Michel Elias, Bruno Meyere, Vincent Ropion",,,,,,
2016,"Les Animaux domestiques ""Le Chien""",Jean LECOINTRE,France,2015,07 min 15 s,TV serie,diverse techniques,Version originale française sous-titrée anglais,Colour,"Teens, Adults, Kids, Family, Young adults, Preschool","247 FILMS PRODUCTION, Laurence MEOC, JE SUIS BIEN CONTENT, Marc JOUSSET, TCHACK, Matthieu LIEGEOIS",,Jean Lecointre,Jean Lecointre,Jean Lecointre,Jean Lecointre,Jean Lecointre,François Leroy,Stéphanie Lansaque,"Roudoudou, Benoît Bayart",,Stéphanie Lansaque,"Mr and Ms Archibald live a peaceful life in their modern home. One day, a dog-butler shows up at their door looking for a job. The couple happily adopts him, but living together isn't so simple.",TV Films,"Rachel Arditi, Adrien de Van, Florence Muller, Pascal Rémy",Jean Lecointre,"""Les Animaux domestiques"", Jean Lecointre",,,,,,,,
2016,"Les Hymnes, la véritable histoire ""God Save the Queen""","Jean-Jacques LONNI, Thierry CZAJKO",France,2015,03 min 34 s,TV serie,2D computer,Version originale française sous-titrée anglais,Colour,Family,"GALACTICA, Michel DAVID",,,Thierry Czajko,,Jean-Jacques Lonni,,Jean-Jacques Lonni,,,Samuel Abraham,Thierry Czajko,President Truc and his media advisor Billy Croche are travelling around the world to educate people in a fun and offbeat way about the unknown and often surprising history of national anthems.,TV Films,,,,,,,,,,,
2016,"Les Kassos ""Totogro - Les Teleboubizes""","Alexis BEAUMONT, Julien DAUBAS",France,2015,02 min 12 s,TV serie,2D computer,Version originale française sous-titrée anglais,Colour,"Teens, Adults, Young adults","BOBBY PROD, David ALRIC, CANAL+, Manuel ALDUY, Marie MUSTEL, Rebecca WINDELER",,,"Eldiablo, Balak, Alexis Beaumont, Léonie De Rudder, Mélanie Duval, Wilson Dos Santos","Julien Daubas, Balak, Clément Desnos, Sylvain Bec",,,"Arthur Peltzer, Christine Shin",Philippe Valette,Balak,"Alexis Dernaucourt, Chloé Doli, Guillaume Ballée, Robin Mazer, Alexandre Vraux, Jonathan Dernaucourt",,"Can you imagine all the crazy kinds of cases social workers encounter on a daily basis? Well, these are even crazier.",TV Films,"Medi Sadoun, Jeanne Chartier, François Levantal, Marion Seclin, Alexis Beaumont",,,,,,,,,,
2016,"Les Mystérieuses Cités d'or Saison 3 ""Le Daimyo Shimazu""",Jean-Luc FRANÇOIS,France,2016,23 min,TV serie,3D computer,Version originale française sous-titrée anglais,Colour,"Kids, Family","BLUE SPIRIT STUDIO, Armelle GLORENNEC, RTBF, Coralie PASTOR","NEWEN DISTRIBUTION, Julien LEROUX",Fernando Lira,Éric Marais,,Bernard Ling,"Stéphane Jouannic, Olivier Montenon, Michael Dreno",Chloé Bocktaels (Blue Spirit Studio),Romain Khairi,Noam Kaniel,Zynco,Manuel de Miranda,"Japan, 1547 AD: On their quest to find the 3rd City of Gold, our heroes must find a mysterious shield-mirror that's ""the pathway and the key to the City of Gold"". But the shield has disappeared and Mendoza and his men have been captured by Shimazu.",TV Films,"Caroline Mozzonne, Adeline Chetail, Bruno Magne, Jérémy Prévost, Martial Le Minoux, Pierre-Alain de Garrigues, Audrey Pic","Pascal Pontoire, Frédéric Bontemps","""Les Mystérieuses Cités d'or"", Jean Chalopin, Bernard Deyries, ""The King's Fifth"", Scott O'Dell",,,,,,,,
2016,"Lili ""Lili Loves Food""",Siri MELCHIOR,"Denmark, United Kingdom",2015,03 min 32 s,TV serie,"cut-outs, 2D computer",Version originale anglaise sous-titrée français,Colour,Preschool,"DANSK TEGNEFILM, Marie BRO","DANSK TEGNEFILM, Marie BRO",Siri Melchior,Kim Fupz Aakeson,Siri Melchior,Siri Melchior,,"Mark Nute, Robin Deller",Siri Melchior,Tanera Dawkins,Niels Arild,,"To some people, Lili seems small. But they're wrong. Lili is big enough to do lots of things and she tries to do more than she's allowed to. You never know what can happen, because Lili has her own way.",TV Films,Holly Skinner,,"""Lili"", Kim Fupz Aakeson",,,,,,,,
2016,"Moonlight Storytime ""Woolydragon""","Kirsten LEPORE, Villamor CRUZ, JR",USA,2015,03 min 15 s,TV serie,"cut-outs, clay",Version originale anglaise sous-titrée français,Colour,Preschool,"BIX PIX ENTERTAINMENT, HOUGHTON MIFFLIN HARCOURT",HOUGHTON MIFFLIN HARCOURT,,,,,,,,,,,"Celebrating the magic and adventure that live inside books, mixing humour and adventure with incredible visuals to inspire kids to read.",TV Films,,,,,,,,,,,
2016,"Paper Mates ""Mistaken Bee-dentity""",Alexey MIRONOV,Russia,2015,05 min 30 s,TV serie,2D computer,Version originale anglaise sous-titrée français,Colour,"Kids, Preschool","Vadim GOLOVNYA, Evgeniy GOLOVIN, Anton SMETANKIN, Tatiana TSYVAREVA",,Anush Mikaelyan,"Vadim Volya, Leonid Kaganov, Evgeniy Golovin",,,,,,,,,"Come join in on the adventures of two cardboard friends, Aristotle the elk and Tyuk-Tyuk the woodpecker. They live in a world where everything is made of paper, cardboard and stationery.",TV Films,,,,,,,,,,,
2016,"Playmobil ""Pirates - Der Film""",Regina WELKER,Germany,2015,13 min,TV serie,3D computer,Version française sous-titrée anglais,Colour,Kids,"PLAYMOBIL geobra Brandstaetter Stiftung & Co. KG, Peter OHEGYI",,,Simon Rost,Alexander Lindner,Felix Mertikat,Thomas Hinke,Wolfram Kampffmeyer,Bart de Smet,"Toni Hinterholzinger, Simon Scharf",Christian Heck,Regina Welker,It's no ordinary day at the Crow's Nest tavern when terrible pirate Silver arrives! He takes Peter on a hectic adventure and they meet a pirate's ghost along the way.,TV Films,"Dirk Stollberg, Lin Gothoni, Thomas Kästern, Bernd Vollbrecht",Bart de Smet,,,,,,,,,
2016,"Professionals ""Stoliar""",Stepan KOVAL,Ukraine,2015,05 min 30 s,TV serie,"cut-outs, 2D computer, clay",Version originale ukrainienne sous-titrée français,Colour,"Teens, Kids, Young adults","NOVATORFILM, Ganna POLONICHENKO","NOVATORFILM, Olia BABYTSKA",Tetyana Konovalova,Stepan Koval,Tetyana Konovalova,Stepan Koval,,,Volodymyr Bystryakov,Volodymyr Bystryakov,Ganna Malijenko,Stepan Koval,"In each episode, two friends, Danylko and Bogdan, study a different profession. Each time they think a profession seems easy to master, it turns out to be much more complicated.",TV Films,,,,"Lev Kostenko, Olga Babytska",,,,,,,
2016,"Puberdagboek ""Alma Mathijsen""",Samantha WILLIAMS,Netherlands,2016,04 min 14 s,TV serie,2D computer,Version originale néerlandaise sous-titrée français,Colour,"Teens, Adults, Young adults","Bruno FELIZ, SUBMARINE, Femke WOLTING",,,,,,,"Samantha Williams, Estelle Peet, Annelies Hofman",,,Firma Helle Willemstijn,,"Before Alma Mathijsen started writing ""real"" books, she wrote revealing epistles about the boys in her life in her love diary. The stories are visualized with hilarious animations by Samantha Williams.",TV Films,Alma Mathijsen,,,,,,,,,,
2016,"Puerto Papel ""Amor de papel""","Alvaro CEPPI ASTUDILLO, Hugo COVARRUBIAS","Chile, Brazil, Colombia, Argentina",2015,11 min,TV serie,animated objects,Version originale espagnole sous-titrée français,Colour,Kids,"ZUMBASTICO STUDIOS, Gabriel NOE","MILLIMAGES, Grace LEE",Pablo Castillo,Carlos Bleycher,,"Claudia Fuenzalida, Simon Gonzalez",,"Enrique Ortega, Pablo Oliva, Zyanya Salcedo, Alejandra Jaramillo, Matias Delgado, Hugo Covarrubias, Pablo Castillo, Francisco Salinas, Rodrigo Guzmán, Camilo Román, Sergio Iacobelli",KRFT,Pedro Santa Cruz,Libelula,"Bernardita Ojeda, Cristián Louit, Andrea Chignoli","Matilda wakes up each day with a new, weird power she can't choose or control, experiencing great adventures and crazy problems in Paper Port, a coastal town where nothing happens... Until now!",TV Films,The Kitchen,,,,,,,,,,
2016,"Radiovizija ""O robovima i robotima""",Miloš TOMIC,Serbia,2016,02 min 20 s,TV serie,"animated objects, drawing on paper, 2D computer, diverse techniques",Version anglaise sous-titrée français,Colour,"Teens, Young adults","ATTIC STUDIOS, Gregor ZUPANC, Miloš IVANOVIĆ",,,,Ivan Benusi,,,Miloš Tomić,,Vladimir Chab,Mićun Jauković,Stanko Milovanović,An innovative exploration of the vast amounts of Radio Belgrade archives.,TV Films,,,,,,,,,,,
2016,"Regular Show ""Brilliant Century Duck Crisis Special""",JG QUINTEL,USA,2015,22 min 50 s,TV special,2D computer,Version originale anglaise sous-titrée français,Colour,"Teens, Kids, Family, Young adults","CARTOON NETWORK STUDIOS, Ryan SLATER",,Paula Spence,,,"Owen Dennis, Toby Jones",,,,,,,"Mordecai and Rigby have to get rid of a cassowary that's loose in the park. When they discover that the cassowary is really a missile-firing robot, Mordecai & Rigby enlist the help of the baby ducks.",TV Films,"William Salyers, Sam Marin, Mark Hamill, JG Quintel",,,,,,,,,,
2016,"Riki ""Felt Pens""",Marina MOSHKOVA,Russia,2015,04 min 54 s,TV serie,2D/3D computer,Version française sous-titrée anglais,Colour,"Kids, Preschool","PETERSBURG ANIMATION STUDIO, Maria BOL'SHAKOVA",,,,,,,,,,,,"Introducing new concepts to children using age-appropriate content. These concepts may include material objects, their properties and behaviour, elementary knowledge of space, time or the surrounding world, ethical notions, etc.",TV Films,,,,,,,,,,,
2016,Stick Man,"Jeroen JASPAERT, Daniel SNADDON",United Kingdom,2015,27 min 08 s,TV special,3D computer,Version originale anglaise sous-titrée français,Colour,", Family","Michael ROSE, MAGIC LIGHT PICTURES, Martin POPE",,,"Jeroen Jaspaert, Max Lang",,,,Triggerfish Animation,,René Aubry,Adrian Rhodes,Robin Sales,The tale of a happy-go-lucky father's epic journey to make it home in time for Christmas.,TV Films,"Russell Tovey, Jennifer Saunders, Sally Hawkins, Martin Freeman, Rob Brydon, Hugh Bonneville",,"""Stick Man"", Julia Donaldson, Axel Scheffler",,,,,,,,
2016,"Super Short Comics ""Into the Pocket""",Keisuke MATSUMOTO,Japan,2015,05 min 11 s,TV serie,2D computer,Version originale japonaise sous-titrée français et anglais,Colour,"Teens, Adults, Young adults","STEVE N' STEVEN INC., Shoichi FURUTA, Tomohiko ISHII",,,,,,,,,,,,Surreal and incongruous variety episodes based on people's everyday lives.,TV Films,,,,,,,,,,,
2016,"SuperMansion ""The Inconceivable Escape of Dr. Devizo""",Zeb WELLS,USA,2015,22 min 19 s,TV serie,"animated objects, special effects",Version originale anglaise sous-titrée français,Colour,Adults,"Matthew SENREICH, Zeb WELLS, Seth GREEN, John HARVATINE IV, Eric TOWNER, STOOPID BUDDY STOODIOS, Tom ROOT","SONY PICTURES TELEVISION, Steve SHAW",,,,,,,,,,,"From the sick minds that hatched ""Robot Chicken"" comes the newest Crackle original series. Bryan Cranston voices Titanium Rex, the leader of a hapless team of super heroes turned mansion roommates.",TV Films,,,,,,,,,,,
2016,"Zecchino d'Oro ""Resterà con te""",Julia GROMSKAYA,Italy,2015,03 min 05 s,TV serie,drawing on paper,Version originale italienne sous-titrée français,Colour,Kids,"GRAFFITI MEDIA FACTORY, ANTONIANO PRODUCTION, Fabrizio PALAFERRI, Federico FIECCONI, RAI FICTION, Sonia FARNESI",RAI COM S.P.A.,Simone Massi,Julia Gromskaya,,Julia Gromskaya,,"Alessia Travaglini, Anna Ferrandes, Laura Fuzzi","Alessia Travaglini, Anna Ferrandes, Laura Fuzzi","G. Attanasio, G. De Rosa","Giuseppe Bellettini, Alex Volpi",Alessia Travaglini,"Every expectant mother dreams of a bright future for the child she is carrying. As in anticipation, a shooting star falls from a star-spangled sky, tracing the dreams of mothers and fathers alike...",TV Films,,"Julia Gromskaya, Alessia Travaglini, Anna Ferrandes, Laura Fuzzi",,,,,,,,,
2016,A Self Compassion Exercise,Joe BICHARD,United Kingdom,2016,04 min 20 s,"Educational, scientific or industrial film",2D computer,Version originale anglaise,Colour,"Adults, Young adults",Sofia DE BOTTON,,,Alain de Botton,,,,,,,Skillbard,,Inviting you all to give yourselves a break.,Commissioned Films,,,,,,,,,,,
2016,"A.A. World Services, Inc. ""Doors""",BUCK,USA,2015,02 min,"Educational, scientific or industrial film","drawing on cels, 2D computer",Version originale anglaise,Colour,Adults,"Anne SKOPAS, Kitty DILLARD, BUCK, Stefania CONSARINO",,"Orion Tait, Thomas Schmid, Justin Fines",,"Justin Fines, Thomas Schmid","Justin Fines, Thomas Schmid",,"Olivia Blanc, Anna Ginsburg, Kyle Mowat, William Trebutien, Nicolo Bianchino, Justin Fines, Daniel Oeffinger, Federico Reano, Thomas Schmid, Kyle Strope",,"Cypheraudio, Tobias Norberg",John Black,,Telling stories of Alcoholics Anonymous members' struggles in the shadow of alcoholism and how they've found their way toward recovery.,Commissioned Films,,,,,,,,,,,
2016,"Adult Swim ""First Dates""",Simon WILCHES-CASTRO,USA,2016,40 s,Advertising film,2D computer,Sans dialogue ni commentaire,Colour,"Teens, Adults, Young adults","TITMOUSE INC., Ben KALINA",,Simón Wilches-Castro,,,"Simón Wilches-Castro, Silvia Prieto",,"Simón Wilches-Castro, Silvia Prieto",,,Simón Wilches-Castro,,Dating is horrible!,Commissioned Films,"Lars Ingelman, Megan Trevino",,,,,,,,,,
2016,"American Indian College Fund ""One Percent""",Chel WHITE,USA,2015,30 s,Advertising film,"animated objects, 3D computer",Version originale anglaise,Colour,"Adults, Young adults","BENT IMAGE LAB, Derrick HUANG, Brianna VITALE",,"Patty Orlando, David Kennedy",Tara Dubbs,,Kamela Hayward,,"John Summerson, Jon Bell","Cameron Carson, Paul Desilva, Sophya Vidal",Neil Young,,Brent Heise,"Using traditional Indian beads as a metaphor, a single yellow bead leads thousands of other beads to take action, building momentum and creating exquisite images from Native American folk art.",Commissioned Films,Gary Farmer,,,"Jim Birkett, Mark Eifert",,,,,,,
2016,"Amnesty ""Change the Story""",Denis DO,France,2015,48 s,Advertising film,2D computer,Sans dialogue ni commentaire,Colour,"Teens, Adults, Kids, Young adults","RITA PRODUCTIONS, Camila MENDEZ, SUPAMONKS STUDIO, Julien BAGNOL-ROY",,Denis Do,,,,,"Jean-Michel Boesh, Kévin Phou, Maelia Mevant, Jérémy Macedo, Alizée Laffiteau, Kherveen Dabylall, Thomas Charra",,Gum,,,"Organised by Amnesty International, this campaign against torture is based on social networks: by ""sharing"" the video, users can edit the images and gradually eliminate torture.",Commissioned Films,,,,,,,,,,,
2016,"Animanima 2015 ""Šumski kralj""",Ivan STOJKOVIC,Serbia,2015,35 s,Advertising film,2D computer,Sans dialogue ni commentaire,Colour,"Teens, Adults, Kids, Family, Young adults",Ivan STOJKOVIC,,Ivan Stojkovic,Ivan Stojkovic,"Ivan Stojkovic, Aleksandar Zolotić",Ivan Stojkovic,Ivan Stojkovic,Ivan Stojkovic,Ivan Stojkovic,Sonja Vukelić,Sonja Vukelić,,A mysterious light finds its way through an enchanted forest and confronts the evil king that resides deep inside the woods.,Commissioned Films,,Ivan Stojkovic,,,,,,,,,
2016,Awesome Beetle's Colors,Indra SPROGE,Latvia,2016,02 min 57 s,"Educational, scientific or industrial film",clay,Version originale anglaise,Colour,,"INFINITY BOX, Janis ZARZECKIS",,,,,,,Marina Trede,,Renars Kaupers,Egons Kronbergs,,A nearly impossible story supported by a catchy melody guides us through the ABCs: Awesome Beetles Color Dirty Elephant. Five Gorgeous Hippos Inspire...,Commissioned Films,,,,Martins Vela,,,,,,,
2016,"Banques Alimentaires ""La Migration des dons""",Nicolas DEVEAUX,France,2015,30 s,Advertising film,"special effects, 3D computer, rotoscope, live action",Version originale française,Colour,"Adults, Family","CUBE CREATIVE PRODUCTIONS, Alexandre PAGOT",,,,,,,,,,,,"In the French food bank's spot promoting their national food drive, everyday products turn into birds: ''When donations fly, we'll no longer need your help''.",Commissioned Films,,,,,,,,,,,
2016,"Barriers ""Girl Effect""",Mustashrik MAHBUB,United Kingdom,2016,02 min 03 s,Advertising film,"drawing on paper,  2D/3D computer, rotoscope",Version originale anglaise,Colour,"Teens, Adults, Young adults","PARTIZAN, Alex HALLEY",,Seb Royce,Bassey Ikpi,,,,"Xavier Ren, Katy Beveridge, Max Clifford","John Malcolm Moore, Luke Simpson",Ed Downham,Wave,,Illustrating the complexities surrounding girls in developing regions.,Commissioned Films,Bassey Ikpi,,,,,,,,,,
2016,DDWIWDD: Dan Deacon When I Was Done Dying,"Dave HUGHES, Jake FRIED, Dimitri STANKOWICZ, Chad VANGAALEN, Colin WHITE, Taras HRABOWSKY, Anthony SCHEPPERD, Masanobu HIRAOKA, Caleb WOOD, Koko FREAKBEAN",USA,2015,05 min 45 s,Music video,"drawing on paper,  2D/3D computer, diverse techniques",Version originale anglaise,Colour,"Teens, Adults, Young adults",Cody DEMATTEIS,,,,,,,,,Dan Deacon,,,"Nine unique and talented animators take viewers on a journey into the afterlife. Created for ""Off The Air"" on Adult Swim.",Commissioned Films,,,,,,,,,,,
2016,"De Staat ""Witch Doctor""","Floris KAAYK,  STUDIO SMACK",Netherlands,2015,02 min 58 s,Music video,"3D computer, live action",Version originale anglaise,Colour,"Teens, Adults, Young adults","STUDIO SMACK, Floris KAAYK,  STUDIO SMACK","KLIK DISTRIBUTION, Ursula VAN DEN HEUVEL",,"Studio Smack, Floris Kaayk",,,,"Studio Smack, Floris Kaayk",,De Staat,,,"Lead singer, Torre Florim, stands in the centre of a throng of shirtless men who seem to obey his thoughts like a mindless horde of zombies. A dizzying, unsettling and exhilarating show.",Commissioned Films,,,,,,,,,,,
